product_id,title,universe,image_url,bullet_points,min_rank_search,avg_rank_search,min_rank_category,avg_rank_category,retailer_category_node,retailer_brand_name,description_filled,source_product_id
B0CV7T9NP3,"Hydrate+ Electrolyte Powder Sticks - Tropical Punch Flavor - 30 Count - Fast Hydration & Recovery - Zero Sugar, Keto Friendly - Essential Minerals & Vitamins",snacks & sweets,[],"[""Rapid Hydration Boost: Our Tropical Punch electrolyte powder is formulated to replenish essential minerals lost through sweat, supporting faster rehydration than water alone."", ""Comprehensive Electrolyte Blend: Features a powerful mix of Sodium, Potassium, Magnesium, and Chloride to help maintain fluid balance and muscle function."", ""Clean Energy, No Crash: Enjoy a delicious, sugar-free, calorie-free, and caffeine-free drink that's perfect for any time of day, including keto and low-carb lifestyles."", ""Packed with Vital Nutrients: Enriched with Vitamin C and a B-vitamin complex to support overall wellness and energy levels."", ""Convenient On-the-Go Packs: Each 30-count box contains individually sealed sticks, making it easy to stay hydrated during workouts, travel, or busy days. Just mix with 16-20 oz of water.""]",15.0,22.0,5.0,8.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Hydrate+,"Hydrate+ Electrolyte Powder Sticks in Tropical Punch flavor provide a refreshing and effective way to rehydrate. This sugar-free, keto-friendly formula is perfect for active individuals and everyday wellness.",B0CV5T9NP2
B0CV9T9NP4,"AquaFuel Advanced Electrolyte Mix - Citrus Burst - 25 Stick Packs - Enhanced Hydration & Performance - No Artificial Sweeteners, Gluten-Free, Vegan",snacks & sweets,[],"[""Advanced Hydration Formula: AquaFuel is designed for optimal hydration, helping your body absorb fluids more efficiently after exercise or during periods of dehydration."", ""Key Electrolytes for Performance: Contains a balanced ratio of Sodium, Potassium, Magnesium, and Calcium to support muscle function and prevent cramps."", ""Naturally Flavored & Sweetened: Experience the invigorating Citrus Burst flavor with no artificial sweeteners, colors, or preservatives. Zero sugar and zero calories."", ""Immune Support & Energy: Fortified with Vitamin C and essential B vitamins to aid in energy metabolism and immune system health."", ""Travel-Friendly & Easy to Use: 25 individual packets for convenient hydration anywhere. Simply dissolve one stick pack in 16-24 oz of water.""]",25.0,31.0,8.0,12.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,AquaFuel,"AquaFuel Advanced Electrolyte Mix in Citrus Burst flavor offers superior hydration with a clean, natural profile. This vegan, gluten-free, and sugar-free option is ideal for maintaining energy and performance.",B0CV5T9NP2
B0D6N5FZ30,Nuun Sport Electrolyte Drink Tablets - Tropical Flavor - 10 Tubes (100 Tablets),beverages,[],"[""Rapid Hydration with Essential Electrolytes"", ""Low Sugar, Gluten-Free, Vegan"", ""Clean Ingredients, No Artificial Sweeteners"", ""Dissolves Quickly in Water for a Refreshing Drink"", ""Perfect for Workouts, Travel, and Daily Wellness""]",15.0,18.0,8.0,10.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Nuun,"Nuun Sport provides essential electrolytes to replenish your body and stay hydrated. These effervescent tablets dissolve in water to create a refreshing, low-sugar sports drink.",B0D6N5FZ29
B0D6N5FZ31,LMNT Electrolyte Drink Mix - Citrus Salt Flavor - 30 Serving Pouch,beverages,[],"[""High Electrolyte Concentration (Sodium, Potassium, Magnesium)"", ""Zero Sugar, Zero Artificial Ingredients"", ""Formulated for Optimal Hydration and Muscle Function"", ""Great Taste with Natural Flavors"", ""Supports Energy Levels and Prevents Cramps""]",22.0,25.0,12.0,15.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,LMNT,LMNT is a sugar-free electrolyte drink mix designed to help you achieve optimal hydration. Its scientifically formulated blend of electrolytes supports performance and well-being.,B0D6N5FZ29
B0DFGHIJKL5,"ATHLETES CHOICE Hydration Electrolyte Powder | Zero Sugar Sports Drink Mix | 600mg Sodium & Potassium Blend | Natural Flavors | Citrus Burst, 60 Servings",snacks & sweets,[],"[""OPTIMAL HYDRATION FORMULA: Packed with essential electrolytes like sodium, potassium, and magnesium to support peak physical performance and fluid balance. 60 servings per container."", ""ENHANCE ENDURANCE & RECOVERY: Designed to replenish vital minerals lost through sweat, helping to combat fatigue, reduce muscle cramps, and improve overall athletic output."", ""CLEAN INGREDIENTS: Enjoy a refreshing, sugar-free experience. Lightly flavored with natural fruit extracts and sweetened with stevia. Contains 600mg of Sodium and Potassium per serving for effective rehydration."", ""QUALITY ASSURED: Manufactured in a GMP-certified facility and rigorously tested for purity and potency. Focus on what matters \u2013 your performance."", ""TRUSTED BY ATHLETES: Athletes Choice is committed to providing high-quality, effective supplements to help you achieve your fitness goals.""]",25.0,33.0,3.0,4.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,ATHLETES CHOICE,Athletes Choice Hydration Electrolyte Powder provides a robust blend of sodium and potassium to support superior hydration and athletic performance. This zero-sugar sports drink mix is perfect for fueling your workouts and daily activities.,B0DGHN493N
B0XYZ789W01,ENDURANCE FUEL Electrolyte Tabs | Sugar-Free Hydration Tablets | 550mg Sodium & Chloride | Berry Blast Flavor | 30 Tablets (60 Servings),snacks & sweets,[],"[""ADVANCED ELECTROLYTE REPLENISHMENT: Each tablet delivers a balanced mix of sodium, chloride, and potassium to maintain optimal hydration levels and prevent cramping during intense exercise. Provides 60 servings."", ""PERFORMANCE BOOST: Supports sustained energy and endurance by replenishing essential minerals lost through sweat, crucial for any athlete or active individual."", ""CONVENIENT & SUGAR-FREE: Easy-to-dissolve tablets in a delicious Berry Blast flavor. Absolutely no sugar, artificial sweeteners, or colors. Just pure hydration support."", ""LAB-TESTED FORMULA: Independently tested to ensure safety and efficacy. Formulated with your performance and well-being in mind."", ""PORTABLE HYDRATION: Small and portable tablets, ideal for on-the-go hydration during training, races, or travel. No need for bulky powders.""]",35.0,42.0,4.0,5.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,ENDURANCE FUEL,"Endurance Fuel Electrolyte Tabs offer a convenient, sugar-free way to stay hydrated. These powerful tablets deliver essential electrolytes to support your performance and recovery, with a refreshing Berry Blast taste.",B0DGHN493N
B09Y8Z7X6W,"HydraFuel Advanced Electrolyte Tablets - High Potency Hydration & Performance Boost - Prevents Muscle Fatigue - Sugar-Free, Gluten-Free, Vegan (10 Tubes, 600mg/L - Blue Tube)",snacks & sweets,[],"[""Replenishes essential electrolytes lost during intense activity or hot weather."", ""Formulated with a higher concentration of sodium and potassium for rapid hydration."", ""Helps prevent muscle cramps and boosts endurance for peak athletic performance."", ""Refreshing citrus flavor, dissolves quickly in water."", ""Low calorie, zero sugar, and suitable for vegan and gluten-free diets.""]",15.0,25.0,5.0,10.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,HydraFuel,HydraFuel Advanced Electrolyte Tablets are your go-to for superior hydration and muscle support. Ideal for athletes and active individuals seeking to optimize their performance and recovery.,B07L46F4X3
B08X5Y4Z3W,"Endurance+ Electrolyte Drink Tablets - Fast-Acting Hydration with Essential Minerals - Aids Recovery & Prevents Dehydration - Natural Flavors, Vegan, Allergen-Free (8 Tubes, 450mg/L - Green Tube)",snacks & sweets,[],"[""Supports sustained hydration throughout the day and during exercise."", ""Contains a balanced blend of sodium, magnesium, and calcium for comprehensive electrolyte balance."", ""Designed to combat dehydration and reduce fatigue effectively."", ""Light, natural fruit flavors with no artificial sweeteners."", ""Free from common allergens, vegan-friendly, and perfect for sensitive systems.""]",30.0,40.0,12.0,18.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Endurance+,Endurance+ Electrolyte Drink Tablets provide a gentle yet effective way to maintain hydration and mineral balance. Perfect for daily wellness and active lifestyles.,B07L46F4X3
B0C4L8K9M1,HydraFuel Advanced Electrolyte Powder Sticks (Tropical Twist - 25 Packets) Sugar Free with Added Magnesium & Electrolyte Blend - Keto Friendly Hydration,snacks & sweets,[],"[""SUPERIOR HYDRATION & RECOVERY: Packed with essential electrolytes including sodium, potassium, and magnesium to replenish what's lost during intense activity and support muscle function.*"", ""ZERO SUGAR, ZERO CALORIES: Enjoy refreshing hydration without the guilt. Sweetened with natural stevia and monk fruit for a clean, crisp taste. Free from artificial sweeteners, colors, and flavors."", ""KETO & PALEO FRIENDLY: Designed for active lifestyles, this electrolyte powder fits seamlessly into ketogenic, paleo, and low-carb diets."", ""CLEAN INGREDIENTS: Formulated with premium, non-GMO ingredients. No gluten, dairy, soy, or nuts. Manufactured in a GMP-certified facility."", ""DELICIOUS TROPICAL TWIST FLAVOR: A vibrant blend of pineapple, mango, and passionfruit for a truly invigorating taste experience. Convenient single-serving packets.""]",65.0,68.0,15.0,18.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,HydraFuel Performance,Replenish and rehydrate with HydraFuel's Advanced Electrolyte Powder. This sugar-free blend supports optimal hydration and muscle recovery with a delicious tropical twist.,B0C3KGFWVL
B0C5M2N7P3,"Vitalyte Electrolyte Drink Mix (Citrus Burst - 30 Packets) Natural Flavors, Low Calorie, Enhanced with Zinc & Vitamin C - Post Workout & Daily Hydration",snacks & sweets,[],"[""COMPLETE HYDRATION FORMULA: Provides a balanced mix of electrolytes, including sodium, potassium, and chloride, to help your body maintain fluid balance and prevent cramping.*"", ""ENHANCED WITH VITAMINS & MINERALS: Fortified with Zinc for immune support and Vitamin C for antioxidant benefits, aiding in post-workout recovery and overall well-being."", ""NATURALLY FLAVORED & LOW CALORIE: Experience the refreshing taste of Citrus Burst, made with natural flavors and a minimal amount of calories. No artificial sweeteners or colors."", ""VERSATILE USE: Perfect for athletes, busy professionals, and anyone looking to stay hydrated throughout the day. Dissolves easily in water."", ""QUALITY ASSURED: Made with high-quality ingredients and manufactured in a regulated facility to ensure purity and potency. Gluten-free and vegan-friendly.""]",58.0,60.0,12.0,14.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Vitalyte Sports,"Vitalyte Electrolyte Drink Mix delivers essential hydration with natural citrus flavors and added Vitamin C and Zinc. Stay refreshed and support your body's needs with this low-calorie, effective formula.",B0C3KGFWVL
B0CDEF3456GHI,"Nuun Sport Electrolyte Drink Tablets, Citrus Burst - Hydration & Recovery Formula with 4 Essential Electrolytes, Low Sugar, Non-GMO - 10 Tubes (100 Tablets)",snacks & sweets,[],"[""Nuun Sport provides a delicious and effective way to replenish fluids and electrolytes lost during exercise."", ""Contains a balanced blend of 4 essential electrolytes: Sodium, Potassium, Magnesium, and Calcium."", ""Lightly sweetened with plant-based ingredients, offering a refreshing citrus flavor without artificial sweeteners."", ""Each tube contains 10 tablets, with each tablet making a 16oz (500ml) electrolyte drink."", ""Low sugar content (2g per serving) and only 10 calories per tablet."", ""Designed for rapid hydration and muscle support during workouts and recovery.""]",45.0,48.0,10.0,12.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Nuun,Nuun Sport Electrolyte Tablets offer a convenient and refreshing way to stay hydrated. Their specialized formula aids in replenishing electrolytes lost through sweat.,B0BGR4FTZS
B0GHI7890JKL,"Liquid I.V. Hydration Multiplier, Electrolyte Powder Drink Mix, Lemon Lime (14 Stick Packs)",snacks & sweets,[],"[""Contains a cutting-edge cellular transport system (CTS) with a 1:1:1 ratio of electrolytes to sugar to water for faster hydration."", ""Provides 3x the electrolytes of traditional sports drinks with a specialized blend of Sodium, Potassium, and Chloride."", ""Infused with essential vitamins B3, B5, and B6 to support energy metabolism."", ""Each stick pack creates a refreshing Lemon Lime flavored drink when mixed with 16oz of water."", ""Made with no artificial colors, flavors, or preservatives."", ""Offers rapid replenishment for active lifestyles, travel, and everyday wellness.""]",38.0,40.0,8.0,10.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Liquid I.V.,Liquid I.V. Hydration Multiplier is designed for rapid hydration through its advanced cellular transport system. It delivers a superior electrolyte and vitamin boost.,B0BGR4FTZS
B0CDEFG789H,"HydraCharge Advanced Electrolyte Powder Sticks - Fast Rehydration Formula, Tropical Fruit Variety Pack, Low Sugar, 6 Essential Electrolytes, No Artificials, 20 Servings",snacks & sweets,[],"[""Includes 20 convenient powder sticks for on-the-go rehydration, featuring refreshing Tropical Fruit flavors (Mango, Pineapple, Guava)"", ""Formulated for rapid fluid and electrolyte replenishment to combat dehydration from intense activity or heat."", ""Contains a balanced blend of 6 key electrolytes: Sodium, Potassium, Chloride, Magnesium, Calcium, and Phosphate."", ""Crafted with natural flavors and sweetened with stevia for a clean taste, free from artificial sweeteners."", ""Significantly lower sugar content compared to leading sports drinks, with only 8g of natural sugars per serving."", ""Each stick mixes with 16.9oz (500ml) of water for optimal hydration, providing 40 calories per serving.""]",15.0,28.0,10.0,15.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,HydraCharge,"Experience rapid rehydration with HydraCharge powder sticks. Our advanced formula replenishes essential electrolytes lost during strenuous activity, all while offering a delicious, low-sugar tropical fruit blend.",B0BPN423GH
B0HIJKL456M,"ReviveMax Electrolyte Powder Mix - Performance Rehydration, Citrus Burst Flavor, Sugar-Free, Complete Electrolyte Spectrum, 24 Stick Packs",snacks & sweets,[],"[""Comes with 24 individual powder sticks for easy portability and precise mixing, in a zesty Citrus Burst flavor."", ""Designed to quickly restore hydration and electrolyte balance after workouts, illness, or travel."", ""Features a comprehensive spectrum of 7 electrolytes including Sodium, Potassium, Chloride, Magnesium, Calcium, Phosphorus, and Bicarbonate."", ""Completely sugar-free and uses natural fruit extracts for flavor, with no artificial colors or preservatives."", ""Ultra-low calorie, with only 5 calories per serving, making it ideal for all hydration needs."", ""Each stick dissolves easily in 16.9 oz (500ml) of water for a refreshing and effective electrolyte drink.""]",20.0,35.0,12.0,18.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,ReviveMax,ReviveMax offers a sugar-free solution for optimal rehydration. Our performance-focused formula and complete electrolyte spectrum ensure you recover quickly and efficiently.,B0BPN423GH
B0D8WP5BFG,"Nuun Sport Hydration Tablets, Strawberry Lemonade, Electrolyte & Vitamin Drink Mix, No Sugar, Natural Flavors, 10 Tabs",snacks & sweets,[],"[""Includes 10 Nuun Sport hydration tablets, Strawberry Lemonade flavor"", ""Formulated with a balanced blend of electrolytes (sodium, potassium, magnesium) for optimal hydration"", ""Contains essential vitamins C and B for energy and recovery"", ""Zero sugar, no artificial sweeteners, colors, or flavors"", ""Dissolves quickly in water for a refreshing, effervescent drink"", ""Perfect for pre, during, and post-workout hydration""]",18.0,33.0,15.0,14.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Nuun,Nuun Sport Hydration Tablets provide essential electrolytes and vitamins to replenish your body and support performance. Enjoy the refreshing Strawberry Lemonade flavor with zero sugar.,B0D8WP5BFG
B0D8WP5BFH,"Liquid IV Hydration Multiplier Electrolyte Powder Packets, Passion Fruit Flavor, Aids Hydration, Essential Vitamins, 14 Single-Serving Packets",snacks & sweets,[],"[""Includes 14 single-serving Liquid IV hydration multiplier packets, Passion Fruit flavor"", ""Utilizes Cellular Transport Technology (CTT) to deliver hydration faster than water alone"", ""Contains a premium electrolyte blend including sodium, potassium, and magnesium"", ""Fortified with essential vitamins C, B3, B5, B6, and B12"", ""Made with natural flavors and sweeteners"", ""Convenient and portable for on-the-go hydration""]",22.0,38.0,18.0,16.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Liquid IV,Liquid IV Hydration Multiplier in Passion Fruit is designed for rapid hydration and replenishment. This powder mix provides a superior electrolyte and vitamin blend for optimal performance.,B0D8WP5BFG
B08XYZ789AB,"Nuun Sport Hydration Tablets, Electrolyte Drink for Workouts & Daily Activity, Orange Citrus - 10 Tubes (40 Tablets)",beverages,[],"[""Fast-Acting Hydration: Nuun Sport provides a delicious, effervescent way to replenish fluids and electrolytes lost during exercise and daily life."", ""Optimal Electrolyte Blend: Each tablet contains a balanced mix of sodium, potassium, magnesium, and calcium to support muscle function and hydration."", ""Low Sugar, Great Taste: Enjoy refreshing flavors with only 1g of sugar per serving, perfect for staying hydrated without the extra calories."", ""Clean Ingredients: Made with plant-based sweeteners and natural flavors, free from artificial colors and preservatives."", ""Versatile Use: Ideal for endurance sports, gym workouts, travel, or simply as a daily hydration boost.""]",18.0,20.0,5.0,7.0,Health & Household > Diet & Sports Nutrition > Sports Nutrition > Electrolyte Replacements,Nuun,"Nuun Sport Hydration Tablets offer a refreshing and effective way to replenish electrolytes and fluids. Their low-sugar, great-tasting formula makes them perfect for athletes and active individuals.",B01N11MZ8L
B07PQR567ST,"GU Hydration Drink Tabs, Electrolyte Tablets for Endurance & Recovery, Lemon-Lime - 20 Tablets",beverages,[],"[""Replenish and Rehydrate: GU Hydration Tabs are formulated to replace essential electrolytes lost through sweat, aiding in performance and recovery."", ""Scientifically Balanced Electrolytes: Contains a precise ratio of sodium and potassium to help maintain fluid balance and prevent cramping."", ""Light & Refreshing Flavor: Enjoy the crisp, natural taste of Lemon-Lime without artificial sweeteners or excessive sugar."", ""Quick Dissolving Effervescence: Simply drop a tablet into water for an instant, great-tasting electrolyte beverage."", ""Trusted by Athletes: GU is a long-standing brand in sports nutrition, committed to providing high-quality products for athletes of all levels.""]",25.0,28.0,8.0,10.0,Health & Household > Diet & Sports Nutrition > Sports Nutrition > Electrolyte Replacements,GU Energy,"GU Hydration Drink Tabs provide essential electrolytes for endurance athletes and active individuals. These fast-dissolving tablets offer a light, refreshing flavor to support hydration and recovery.",B01N11MZ8L
